# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 23K of event 'branch-instructions'
# Event count (approx.): 4637350059
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                  
# ........  .......  ............................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d47
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000015617
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6da
     0.02%  test     [kernel.kallsyms]             [k] ext4_mpage_readpages
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000271c6
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000028b8c
     0.02%  test     [kernel.kallsyms]             [k] down_write
     0.02%  test     [kernel.kallsyms]             [k] __get_vma_policy
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d797
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027218
     0.02%  test     [kernel.kallsyms]             [k] __fsnotify_parent
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000002715f
     0.02%  test     libopencv_imgproc.so.4.9.0    [.] cv::hal::resize(int, unsigned char const*, unsigned long, int, int, unsigned char*, unsigned long, int, int, double, double, int)
     0.02%  test     [kernel.kallsyms]             [k] stop_this_handle
     0.02%  test     [kernel.kallsyms]             [k] memcg_check_events
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8b0
     0.02%  test     [kernel.kallsyms]             [k] memcg_slab_post_alloc_hook
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004bf17
     0.02%  test     libm.so.6                     [.] __atan2f
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d671
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8c1
     0.02%  test     [kernel.kallsyms]             [k] filemap_get_folios_tag
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000028b90
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e47
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6ec
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d653
     0.02%  test     [kernel.kallsyms]             [k] xas_descend
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000155f6
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000028bcf
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a5e
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000007e1a
     0.02%  test     [kernel.kallsyms]             [k] x64_sys_call
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000271c0
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000277f6
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000059e8
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027950
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000002781c
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000271d3
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000059e7
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6ba
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027928
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000271e3
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d533
     0.01%  test     [kernel.kallsyms]             [k] __mem_cgroup_uncharge_list
     0.01%  test     [nvidia]                      [k] _nv011240rm
     0.01%  test     libjpeg.so.8.2.2              [.] 0x0000000000006143
     0.01%  test     libjpeg.so.8.2.2              [.] 0x000000000002713a
