# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 41K of event 'branch-instructions'
# Event count (approx.): 5060828101
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                              
# ........  .......  ............................  ....................................................................................................................................................................................................................................................................
#
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000156d3
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c486
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027853
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000271c6
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004be75
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000271d3
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027955
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6e4
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000271a3
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000059e7
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000277d9
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027937
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000002712a
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004be7b
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000272a1
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d475
     0.02%  test     libz.so.1.2.11                [.] 0x0000000000002d3f
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8b3
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000002791d
     0.02%  test     [kernel.kallsyms]             [k] up_write
     0.02%  test     [kernel.kallsyms]             [k] __wake_up_common_lock
     0.02%  test     [kernel.kallsyms]             [k] file_modified_flags
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000006135
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c344
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d60d
     0.02%  test     [kernel.kallsyms]             [k] mod_zone_page_state
     0.02%  test     [kernel.kallsyms]             [k] fault_in_readable
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000156bb
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000271c0
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c812
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d713
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d609
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000026d4e
     0.02%  test     [kernel.kallsyms]             [k] ext4_bio_write_folio
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8b0
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6c8
     0.02%  test     [kernel.kallsyms]             [k] mod_objcg_state
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000270d1
     0.02%  test     [kernel.kallsyms]             [k] filemap_get_folios_tag
     0.02%  test     [kernel.kallsyms]             [k] __folio_throttle_swaprate
     0.02%  test     [kernel.kallsyms]             [k] __mark_inode_dirty
     0.02%  test     libgomp.so.1.0.0              [.] 0x0000000000020606
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d47
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8b6
