# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'branch-instructions'
# Event count (approx.): 4978103875
#
# Overhead  Command  Shared Object               Symbol                                                                                                                                                                                                                                                              
# ........  .......  ..........................  ....................................................................................................................................................................................................................................................................
#
     0.04%  test     libjpeg.so.8.2.2            [.] 0x00000000000155b0
     0.04%  test     libjpeg.so.8.2.2            [.] 0x0000000000048e3f
     0.04%  test     libjpeg.so.8.2.2            [.] 0x000000000002797f
     0.04%  test     libjpeg.so.8.2.2            [.] 0x000000000004c24c
     0.04%  test     libjpeg.so.8.2.2            [.] 0x0000000000028b90
     0.04%  test     libjpeg.so.8.2.2            [.] jpeg_huff_decode
     0.04%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7ac
     0.04%  test     libjpeg.so.8.2.2            [.] 0x000000000004be44
     0.04%  test     libjpeg.so.8.2.2            [.] 0x000000000004c812
     0.04%  test     [kernel.kallsyms]           [k] kmem_cache_alloc
     0.04%  test     libjpeg.so.8.2.2            [.] 0x000000000004c684
     0.04%  test     libjpeg.so.8.2.2            [.] 0x00000000000271fa
     0.04%  test     test                        [.] void _mm512_memcpy<unsigned char>(unsigned char*, unsigned char const*, unsigned long)
     0.03%  test     libjpeg.so.8.2.2            [.] 0x00000000000271f8
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000027860
     0.03%  test     libm.so.6                   [.] __atan2f_finite@GLIBC_2.15
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004c6f1
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000003d64b
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000007d54
     0.03%  test     [kernel.kallsyms]           [k] filemap_get_folios_tag
     0.03%  test     [kernel.kallsyms]           [k] _raw_spin_unlock_irqrestore
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000015621
     0.03%  test     test                        [.] std::atan2(float, float)
     0.03%  test     [kernel.kallsyms]           [k] jbd2_journal_grab_journal_head
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000027850
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004bead
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004be83
     0.03%  test     [kernel.kallsyms]           [k] kmem_cache_free
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004beff
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004bed1
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004c23a
     0.03%  test     [kernel.kallsyms]           [k] policy_nodemask
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004bee0
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000003d55d
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004c6ec
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000027920
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000003d8b6
