# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 35K of event 'branch-instructions'
# Event count (approx.): 6330547978
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                             
# ........  .......  ............................  ...................................................................................................................................................................................................................................................................................................................
#
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000003d617
     0.05%  test     [kernel.kallsyms]             [k] xas_store
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6fb
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000002797f
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000015561
     0.05%  test     libjpeg.so.8.2.2              [.] 0x0000000000027241
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000003d79d
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000003d62f
     0.05%  test     [kernel.kallsyms]             [k] inherit_event.constprop.0
     0.05%  test     [kernel.kallsyms]             [k] memcg_slab_post_alloc_hook
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6f1
     0.05%  test     [kernel.kallsyms]             [k] free_unref_page_commit
     0.05%  test     libjpeg.so.8.2.2              [.] 0x000000000004bee0
     0.05%  test     [kernel.kallsyms]             [k] __pte_offset_map_lock
     0.05%  test     libjpeg.so.8.2.2              [.] jpeg_huff_decode
     0.05%  test     [kernel.kallsyms]             [k] rb_insert_color
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8ba
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000003d53c
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7eb
     0.04%  test     [kernel.kallsyms]             [k] __irqentry_text_end
     0.04%  test     libjpeg.so.8.2.2              [.] 0x00000000000271c8
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7db
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000003d797
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d62
     0.04%  test     [kernel.kallsyms]             [k] free_swap_cache
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000037320
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d59
     0.04%  test     [kernel.kallsyms]             [k] __srcu_read_lock
     0.04%  test     libtbb.so.12.12               [.] tbb::detail::d1::task* tbb::detail::r1::task_dispatcher::local_wait_for_all<false, tbb::detail::r1::outermost_worker_waiter>(tbb::detail::d1::task*, tbb::detail::r1::outermost_worker_waiter&)
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000006135
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000027265
     0.04%  test     [kernel.kallsyms]             [k] kmem_cache_alloc
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8b0
     0.04%  test     libjpeg.so.8.2.2              [.] 0x00000000000155c3
     0.04%  test     libjpeg.so.8.2.2              [.] 0x00000000000271a0
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000002793e
     0.04%  test     libjpeg.so.8.2.2              [.] 0x00000000000270d1
     0.04%  test     [kernel.kallsyms]             [k] perf_iterate_ctx
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a67
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c252
     0.03%  test     test                          [.] void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027244
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d799
     0.03%  test     [kernel.kallsyms]             [k] __folio_alloc
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6cf
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000002785c
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004beb7
     0.03%  test     [kernel.kallsyms]             [k] x86_reserve_hardware
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000007dad
     0.03%  test     [kernel.kallsyms]             [k] do_user_addr_fault
     0.03%  test     [kernel.kallsyms]             [k] send_to_group
     0.03%  test     libjpeg.so.8.2.2              [.] 0x00000000000271fa
     0.03%  test     libjpeg.so.8.2.2              [.] 0x00000000000271ab
     0.03%  test     [kernel.kallsyms]             [k] ext4_fill_raw_inode
     0.03%  test     [kernel.kallsyms]             [k] kmalloc_trace
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004be6f
     0.03%  test     [kernel.kallsyms]             [k] __mem_cgroup_charge
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000028b97
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027920
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a3f
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027937
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004be97
     0.03%  test     [kernel.kallsyms]             [k] policy_node
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004bed1
     0.03%  test     libjpeg.so.8.2.2              [.] 0x00000000000155b0
     0.03%  test     [kernel.kallsyms]             [k] crypto_shash_update
     0.03%  test     libjpeg.so.8.2.2              [.] jpeg_huff_decode@plt
     0.03%  test     [kernel.kallsyms]             [k] kmem_cache_alloc_node
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000002708e
     0.03%  test     [kernel.kallsyms]             [k] pud_val
     0.03%  test     libm.so.6                     [.] __atan2f_finite@GLIBC_2.15
     0.03%  test     [kernel.kallsyms]             [k] up_write
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027bf4
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c449
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d790
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c2ff
     0.03%  test     [kernel.kallsyms]             [k] __srcu_read_unlock
     0.03%  test     [kernel.kallsyms]             [k] __folio_start_writeback
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e37
     0.03%  test     [kernel.kallsyms]             [k] post_alloc_hook
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000028ba0
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000028bd6
     0.03%  test     [kernel.kallsyms]             [k] _raw_spin_unlock_irqrestore
