# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 22K of event 'branch-instructions'
# Event count (approx.): 4354894864
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                              
# ........  .......  ............................  ....................................................................................................................................................................................................................................................................
#
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6ec
     0.04%  test     libjpeg.so.8.2.2              [.] 0x00000000000271ab
     0.04%  test     [kernel.kallsyms]             [k] __folio_alloc
     0.04%  test     [kernel.kallsyms]             [k] __fsnotify_parent
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000028bb1
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004bef3
     0.04%  test     libjpeg.so.8.2.2              [.] 0x00000000000271a3
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000027241
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000027910
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000003d64b
     0.04%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e3f
     0.04%  test     [kernel.kallsyms]             [k] send_to_group
     0.04%  test     test                          [.] decltype (::new ((void*)(0)) int((declval<int const&>)())) std::construct_at<int, int const&>(int*, int const&)
     0.04%  test     [kernel.kallsyms]             [k] memset_orig
     0.04%  test     [kernel.kallsyms]             [k] mod_objcg_state
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004c812
     0.04%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6a5
     0.04%  test     [kernel.kallsyms]             [k] __folio_start_writeback
     0.04%  test     [kernel.kallsyms]             [k] consume_stock
     0.04%  test     test                          [.] void _mm512_memcpy<unsigned char>(unsigned char*, unsigned char const*, unsigned long)
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6c8
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a46
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6f6
     0.03%  test     libm.so.6                     [.] __atan2f_finite@GLIBC_2.15
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027922
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000028b82
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000028ba0
     0.03%  test     [kernel.kallsyms]             [k] error_entry
     0.03%  test     [kernel.kallsyms]             [k] should_fail_alloc_page
     0.03%  test     [kernel.kallsyms]             [k] _raw_spin_unlock
     0.03%  test     libjpeg.so.8.2.2              [.] 0x00000000000271c0
     0.03%  test     [kernel.kallsyms]             [k] __rmqueue_pcplist
     0.03%  test     test                          [.] std::operator==(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004beff
     0.03%  test     libopencv_imgproc.so.4.9.0    [.] cv::hal::resize(int, unsigned char const*, unsigned long, int, int, unsigned char*, unsigned long, int, int, double, double, int)
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c704
     0.03%  test     [kernel.kallsyms]             [k] mod_zone_page_state
     0.03%  test     [kernel.kallsyms]             [k] ext4_bio_write_folio
     0.03%  test     test                          [.] int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000006135
