# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 23K of event 'branch-instructions'
# Event count (approx.): 4500423953
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
# ........  .......  ............................  ...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.02%  test     [kernel.kallsyms]             [k] try_to_wake_up
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c700
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027aa3
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000155c3
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6c2
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d61b
     0.02%  test     libc.so.6                     [.] __GI___pthread_enable_asynccancel
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027910
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000006135
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000000610b
     0.02%  test     [kernel.kallsyms]             [k] lockref_put_return
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000277f6
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d60d
     0.02%  test     [kernel.kallsyms]             [k] _raw_write_lock
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d609
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004bebb
     0.02%  test     [kernel.kallsyms]             [k] __schedule
     0.02%  test     [kernel.kallsyms]             [k] __block_commit_write.constprop.0
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d5f5
     0.02%  test     [kernel.kallsyms]             [k] down_read
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6fb
     0.02%  test     [kernel.kallsyms]             [k] __es_insert_extent
     0.02%  test     [kernel.kallsyms]             [k] node_page_state
     0.02%  test     [kernel.kallsyms]             [k] ext4_bio_write_folio
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004bef7
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000155b0
     0.02%  test     [kernel.kallsyms]             [k] __ext4_get_inode_loc
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d533
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d637
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000059e2
     0.02%  test     [kernel.kallsyms]             [k] ext4_mark_iloc_dirty
     0.02%  test     [kernel.kallsyms]             [k] __filemap_add_folio
     0.02%  test     [kernel.kallsyms]             [k] crypto_shash_update
     0.02%  test     [kernel.kallsyms]             [k] ext4_inode_csum_set
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c26a
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e47
     0.02%  test     [kernel.kallsyms]             [k] jbd2_write_access_granted
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027bf0
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d797
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000206c1
     0.02%  test     libopencv_imgproc.so.4.9.0    [.] cv::hal::resize(int, unsigned char const*, unsigned long, int, int, unsigned char*, unsigned long, int, int, double, double, int)
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e29
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7e2
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000028b8c
     0.02%  test     test                          [.] std::atan2(float, float)
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000006090
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000028bb1
     0.02%  test     [kernel.kallsyms]             [k] memcg_check_events
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000028ba0
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000271f8
     0.02%  test     [kernel.kallsyms]             [k] asm_exc_page_fault
     0.02%  test     [kernel.kallsyms]             [k] block_invalidate_folio
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7ac
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000028bef
     0.02%  test     [kernel.kallsyms]             [k] drop_buffers.constprop.0
     0.02%  test     test                          [.] std::vector<int, std::allocator<int> >::operator[](unsigned long)
     0.02%  test     [kernel.kallsyms]             [k] slab_update_freelist.constprop.0.isra.0
     0.02%  test     test                          [.] std::vector<int, std::allocator<int> >::size() const
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027870
     0.02%  test     [kernel.kallsyms]             [k] __get_obj_cgroup_from_memcg
     0.02%  test     libc.so.6                     [.] malloc
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000276de
     0.02%  test     [kernel.kallsyms]             [k] do_user_addr_fault
     0.02%  test     [kernel.kallsyms]             [k] should_fail_alloc_page
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027212
     0.02%  test     [kernel.kallsyms]             [k] access_error
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c2c9
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c282
